AJxt_anchor,FAQ
AAAGAf28AgXMAgYY_anchor,Standard Weight
AAAGAgdk_anchor,Cut Tables
AAAGAgdE_anchor,Drilling Holes
AAAGAgdEAgdF_anchor,Aluminum
AAAGAgdEAgdG_anchor,Carbon Steel
AAAGAgdEAgdH_anchor,Stainless Steel
AAAGAf3S_anchor,Fittings
AAAGAf3SAgXO_anchor,ABS
AAAGAf3SAgXOAgZa_anchor,Compressed Air
AAAGAf3SAgXOAgZaAgJ-_anchor,Solvent Cement
AAAGAf3SAgXOAgZZ_anchor,DWV
AAAGAf3SAgXOAgZZAgJ-_anchor,Solvent Cement
AAAGAf3SAgW2_anchor,Aluminum
AAAGAf3SAgW2AgJ__anchor,Butt Weld
AAAGAf3SAgW2AgJ_AgYZ_anchor,Extra Heavy
AAAGAf3SAgW2AgJ_AgYe_anchor,Schedule 10
AAAGAf3SAgW2AgJ_AgYf_anchor,Schedule 5
AAAGAf3SAgW2AgJ_AgYY_anchor,Standard Weight
AAAGAf3SAgW2AgZb_anchor,Compressed Air (Transair)
AAAGAf3SAgW2AgZbAgKA_anchor,Compression
AAAGAf3SAgW2AgJ9_anchor,Groove
AAAGAf3SAgW2AgJ7_anchor,Socket Weld
AAAGAf3SAgW2AgJ7AgXw_anchor,3000 PSI
AAAGAf3SAgW2AgJ8_anchor,Thread
AAAGAf3SAgW2AgJ8AgXx_anchor,150 PSI
AAAGAf3SAgW2AgJ8AgXw_anchor,3000 PSI
AAAGAf3SAgW2AgZc_anchor,Vacuum Tubing
AAAGAf3SAgW2AgZcAgVL_anchor,Belled End
AAAGAf3SAgW2AgZcAgVLAgKB_anchor,Adhesive Joint
AAAGAf3SAgW2AgZcAgVLAgKC_anchor,Seal Weld
AAAGAf3SAgW2AgZcAgVLAgKD_anchor,Shrink Sleeve
AAAGAf3SAgW2AgZcAgVM_anchor,Straight End
AAAGAf3SAgW2AgZcAgVMAgKA_anchor,Compression
AAAGAf3SAgW2AgZcAgVMAgKE_anchor,Slip Coupling w/ Shrink Sleeve
AAAGAf3SAgXQ_anchor,Brass or Bronze
AAAGAf3SAgXQAgXR_anchor,70-30 Copper Nickel
AAAGAf3SAgXQAgXRAgj5_anchor,Silver Solder Insert
AAAGAf3SAgXQAgKM_anchor,95/5 Solder
AAAGAf3SAgXQAgKA_anchor,Compression
AAAGAf3SAgXQAgZZ_anchor,DWV
AAAGAf3SAgXQAgZZAgKJ_anchor,50/50 Solder
AAAGAf3SAgXQAgKF_anchor,Flange
